name,reviews_list,aspects,sentiment
Barbeque Nation ,Food served is really tasty and full of flavours,food,positive
Barbeque Nation ,It is awesome place,ambience,positive
Barbeque Nation ,Staffs are so friendly. ,service,positive
Barbeque Nation ,Music is quite good,ambience,positive
Barbeque Nation ,U will love d place,ambience,positive
Barbeque Nation ,Vibrant and good vibes most of the time.,ambience,positive
Barbeque Nation ,They have really friendly staffs and who performs their services promptly,service,positive
Barbeque Nation ,drinks is little costly ,price,negative
Barbeque Nation ,food taste and quality is never compromised,food,positive
Barbeque Nation ,They have really friendly staffs and who performs their services promptly,service,positive
Barbeque Nation ,A very nice and good place with best buffet in town,ambience,positive
Barbeque Nation ,The staff were very humble and polite,service,positive
Barbeque Nation ,The food was good in taste and quality would recommend this place at any time,food,positive
Barbeque Nation ,Chef and Waiter were very polite and courteous but food wasn't as good,food,positive
Barbeque Nation ,"100% satisfaction, taste and service",food,positive
Barbeque Nation ,"100% satisfaction, taste and service",service,positive
Barbeque Nation ,pleasure to visit this place at any city to satisfy your taste buds and its very reliable,food,positive
Barbeque Nation ,Service is the best thing about this chain and it always amazes me,service,positive
Barbeque Nation ,Plac eis quote good ambiance food was fabolus and the started with freshly made starters food quality was never better just waw people are supporting really helpful customize the taste spice according to your need speaclliy thanks to,ambience,positive
Barbeque Nation ,Main course have good choice for veg as well as non veg,food,positive
Barbeque Nation ,Quality was just splendid (excellent),food,positive
Barbeque Nation ,Desert was very much better and melting in our mouth,food,neutral
Barbeque Nation ,Only issue was small place to accumulate,ambience,negative
Barbeque Nation ,nJust the purpose was served good ambiance,ambience,positive
Barbeque Nation ,"Pros- Unlimited chicken, mutton, fish Berbeque's.",food,positive
Barbeque Nation ,Which was fresh and extremely tasty.,food,positive
Barbeque Nation ,Need one welcome drink badly,food,negative
Barbeque Nation ,Server's are extremely helpful and polite. ,service,positive
Barbeque Nation ,Desserts were good and so were the multitude options in kulfi.,food,positive
Barbeque Nation ,"Biriyani, surprisingly, was passable. They need to come up with a better version. ",food,negative
Barbeque Nation ,Live grill on the table is a highlight and memorable experience.,service,positive
Barbeque Nation ,"On Service: Khush served us impeccably and with a smiling outlook. Big thumbs up.																							",service,positive
Barbeque Nation ,On decor: very casual ambience and almost every table had someone celebrating an anniversary or birthday',ambience,negative
Barbeque Nation ,I like their starters good variety of chicken starters.,food,positive
Barbeque Nation ,Like their desserts.,food,positive
Barbeque Nation ,But this time I really liked their assorted Kulfis. ,food,positive
Barbeque Nation ,"I didnt find it so great, the service was too late and the staff who served us looked so dull.",service,negative
Barbeque Nation ,"Food is good here, liked the desserts part.",food,positive
Barbeque Nation ,May be the day we went was too crowded and so couldn't enjoy the food properly.,ambience,negative
Barbeque Nation ,Waiting forward to meet the staff and food again.,food,positive
Barbeque Nation ,"What a charm the waiters have, what awesome food they serve. ",food,positive
Barbeque Nation ,"Veggie people have less options in any BBQ you go, but this place will make sure you have a good amount of quality veg starters on your request for free.",food,neutral
Barbeque Nation ,"Sometimes, they have complementary drinks with the food.",food,neutral
Barbeque Nation ,Check with the staff for that.,service,neutral
Barbeque Nation ,"One of the oldest places that started off the concept of in-table barbecue, this place has stood the test of time. ",ambience,neutral
Barbeque Nation ,"Be it the food served or the service offered, Barbecue Nation is a great place to head for good food.",food,positive
Barbeque Nation ,We went here for a family lunch and were seated promptly.,food,neutral
